0,90,68
1,89,67
2,88,67
3,87,67
4,88,66
5,86,66
6,86,66
7,87,64
8,86,66
9,85,67
10,85,67
11,85,67
12,85,64
13,84,65
14,85,65
15,85,65
16,85,66
17,85,65
18,85,64
19,85,64
20,86,63
21,86,62
22,86,63
23,86,63
24,87,62
25,85,65
26,86,64
27,87,64
28,87,63
29,89,64
30,89,65
31,90,65
32,91,64
33,93,65
34,93,65
35,95,65
36,96,64
37,95,65
38,94,64
39,96,64
40,95,63
41,96,62
42,96,61
43,97,62
44,96,60
45,97,59
46,98,62
47,97,62
48,96,63
49,96,63
50,94,63
51,93,63
52,93,65
53,93,65
54,91,64
55,89,68
56,88,68
57,85,67
58,83,68
59,81,69
60,77,67
61,74,68
62,72,68
63,72,69
64,69,67
65,67,69
66,63,71
67,62,72
68,62,70
69,59,72
70,61,71
71,59,72
72,59,72
73,59,70
74,60,73
75,59,74
76,61,74
77,59,77
78,60,78
79,60,77
80,61,76
81,62,77
82,61,76
83,61,75
84,62,73
85,61,75
86,62,74
87,63,73
88,63,73
89,63,72
90,64,71
91,65,70
92,66,69
93,67,68
94,67,68
95,67,65
96,68,62
97,69,60
98,70,59
99,69,56
100,69,57
101,74,58
102,75,58
103,76,59
104,81,60
105,85,62
106,89,62
107,95,63
108,98,63
109,99,62
110,102,60
111,106,61
112,107,61
113,108,63
114,111,62
115,112,63
116,113,63
117,113,63
118,113,64
119,114,63
120,113,64
121,112,64
122,112,65
123,112,66
124,110,66
125,109,66
126,107,67
127,105,66
128,103,67
129,101,68
130,97,65
131,95,65
132,93,65
133,93,64
134,90,64
135,88,64
136,86,62
137,84,62
138,82,62
139,81,60
140,80,59
141,79,59
142,77,58
143,78,59
144,77,60
145,77,60
146,76,60
147,76,58
148,76,58
149,75,57
150,75,57
151,75,55
152,76,58
153,76,58
154,75,57
155,75,57
156,75,58
157,77,59
158,77,58
159,78,59
160,77,59
161,77,58
162,77,58
163,77,59
164,76,59
165,75,58
166,75,57
167,76,57
168,76,55
169,74,55
170,75,57
171,77,58
172,76,58
173,77,59
174,77,59
175,78,58
176,80,58
177,80,56
178,80,56
179,80,56
180,82,56
181,83,57
182,82,55
183,83,57
184,84,56
185,83,56
186,84,55
187,84,55
188,85,56
189,84,55
190,84,54
191,85,55
192,83,54
193,84,55
194,83,55
195,83,57
196,83,54
197,84,55
198,84,54
199,83,54
200,83,55
201,83,56
202,83,58
203,83,58
204,81,59
205,83,60
206,83,61
207,83,62
208,83,62
209,84,62
210,84,59
211,85,60
212,86,60
213,86,60
214,87,65
215,87,65
216,87,66
217,87,66
218,87,68
219,87,68
220,88,68
221,88,69
222,90,70
223,89,71
224,89,73
225,89,70
226,89,70
227,91,70
228,90,70
229,90,69
230,90,69
231,91,70
232,93,71
233,93,70
234,94,73
235,96,74
236,96,74
237,100,76
238,99,76
239,101,79
240,103,78
241,104,79
242,105,81
243,108,86
244,110,89
245,108,85
246,110,89
247,112,90
248,112,89
249,112,89
250,112,91
251,111,91
252,114,95
253,114,96
254,113,93
255,117,97
256,118,92
257,121,91
258,121,90
259,119,92
260,121,87
261,120,86
262,120,82
263,120,80
264,116,78
265,114,74
266,108,72
267,104,72
268,101,71
269,97,70
270,92,65
271,87,66
272,81,66
273,78,64
274,76,64
275,74,64
276,70,62
277,68,62
278,67,61
279,66,63
280,64,62
281,62,60
282,60,61
283,61,61
284,60,62
285,60,62
286,61,61
287,63,60
288,64,63
289,66,62
290,68,63
291,70,63
292,73,66
293,73,65
294,77,67
295,80,71
296,81,72
297,81,73
298,84,73
299,84,72
300,85,73
301,87,71
302,88,72
303,89,72
304,90,73
305,92,72
306,91,72
307,91,71
308,92,70
309,91,69
310,91,70
311,90,70
312,88,69
313,89,69
314,88,69
315,87,69
316,87,68
317,85,68
318,86,70
319,86,69
320,84,70
